342	14656.2	2.21	245.5	377.37	1147.95	1.06	753.59	13.64	30.03	15.15	73.9	463.31
341	14606.5	1.43	249.93	378.9	1160.57	0.909741	737.02	12.71	29.53	14.22	65.43	409.57
340	15838.5	1.4	272.17	421.85	1189.89	0.944464	762.84	13.58	32.14	13.84	66.88	421.6
339	16099.8	1.19	286.5	381.54	1222.83	0.98838	773.84	14.2	32.9	14.92	65.52	397.87
338	14026.6	1.12	273.39	360.78	1175.89	1.01	765.83	14.28	32.35	15.3	66.32	220.01
337	13925.8	1.04	275.98	337.06	1184.69	1.04	694.15	13.81	30.78	14.29	59.7	241.63
336	14699.2	1.17	288.27	382.04	1275.5	0.927166	719.39	14.27	32.73	13.24	58.9	288.51
335	13831.8	1.14	264.93	346.11	1179.01	0.816177	674.86	12.52	30.96	9.92	55.57	289.79
334	15802.9	1.19	317.46	417.98	1434.82	0.998102	821.06	16.03	42.1	12.93	71.37	340.55
333	16624.6	0.775964	314.62	469.2	1550.85	0.918996	819.09	15.21	44.05	11.19	75.62	362.78
332	17776.7	0.791257	350.25	377.24	1186.63	0.942962	826.82	15.89	40.27	11.99	70.81	387.42
331	19114.2	0.778407	358.34	381.51	1167.12	0.846193	794.64	15.61	39.4	12.67	77.22	430.04
330	19140.8	0.728366	318.72	351.37	1105.92	0.687827	719.98	13.54	34.79	11.26	68.11	427.71
329	19497.4	0.758642	298.97	327.32	1001.51	0.657999	696.21	13.4	34.78	10.81	49.81	457.47
328	17706.9	0.756181	299.78	312.32	900.52	0.592682	684.45	13.09	32.09	9.89	47.99	396.08
327	16564	0.864263	279.33	325.21	941.11	0.610045	695.82	13.64	31.96	9.78	50.62	373.44
326	16408.2	0.471063	302.6	305.75	886.88	0.523858	702.77	13.65	29.72	9.54	44.81	366.3
325	17415.4	0.373541	316.16	308.07	932.03	0.534018	651.43	14.86	30.32	10.16	40.41	387.75
324	16936.8	0.251691	214.2	279.67	765.4	0.49053	515.14	11.22	27.64	10.73	35.88	379.63
323	15455.4	0.237333	148.66	245.33	688.67	0.393966	441.72	9.76	26.51	9.2	33.31	374.21
322	15178.2	0.244708	155.24	262.53	723.61	0.445482	473.5	8.72	29.09	9.16	35.71	373.26
321	16569.4	0.252125	124.85	276.74	726.67	0.639449	456.03	8.4	30.05	9.02	36.27	409.73
320	17899.7	0.222823	98.29	280.86	697.9	0.236283	434.41	8.52	26.82	8.84	34.86	447.18
319	14291.5	0.232544	100.35	278.69	700.07	0.270295	428.59	8.43	27.86	7.56	35.16	369.24
318	11916.7	0.246101	102.4	269.48	756.36	0.301329	463.28	7.43	30.39	7.46	38.82	331.74
317	11657.2	0.253571	104.24	210.24	774.01	0.285884	470.2	6.69	30.4	7.48	42.17	330.67
316	11323.2	0.252558	101.26	200.05	768.88	0.275915	465.85	6.2	30.46	6.12	36.62	311.99
315	11074.6	0.255492	100.28	203.03	778.43	0.252322	463.45	6.11	30.8	5.91	35.07	319.24
314	10975.6	0.255699	99	190.94	797.53	0.239571	466.54	5.8	31.2	5.65	35.84	322.74
313	10233.6	0.250878	88.33	180.14	786.93	0.226677	447.11	4.88	28.19	5.36	32.96	285.46
312	9888.61	0.243064	85.57	168.15	677.39	0.218286	427.52	5.17	25.42	4.82	32.28	269.33
311	10058.8	0.299152	96.03	203.21	626.42	0.248682	472.9	5.93	33.98	6.47	38.08	286.04
310	9818.35	0.253927	91.6	173.39	632.3	0.226282	480.36	5.65	25.75	5.38	40.13	300.48
309	9330.55	0.248818	85.93	163.37	621.62	0.213886	471.33	5.68	22.22	4.56	38.44	299.79
308	8790.92	0.252393	88.82	168.44	643.57	0.218506	466.28	5.35	21.71	4.79	38.13	304.7
307	8253.69	0.244642	77.97	160.03	566.63	0.209109	474.91	5.23	21.45	4.25	34.79	297.26
306	8038.77	0.242402	73.22	158.61	566.68	0.201437	410.17	5.19	18.23	4	34.9	289.76
305	8253.55	0.238859	71.89	165.95	578.85	0.203891	380.65	5.29	17.99	3.73	35.86	299.33
304	8071.26	0.233271	70.03	141.74	494.21	0.202712	360.4	5.19	17.8	3.46	34.36	294.1
303	8200.64	0.238759	72.25	135.76	486.54	0.213041	366.73	5.27	18.39	3.48	35.64	296.51
302	8036.49	0.231016	71.59	129.48	442.31	0.201947	354.39	5.12	17.92	3.46	39.75	292.65
301	7790.15	0.228627	69.64	130.8	454.74	0.196271	347.61	5.3	17.72	3.5	42.74	294.92
300	7708.99	0.226581	67.57	126.7	424.98	0.192635	332.39	4.78	17.24	3.36	40.5	297.02
299	7871.69	0.227107	71.06	120.31	418.18	0.196787	330.92	4.76	16.88	3.31	28.7	303.01
298	7315.54	0.212956	63.82	121.37	424.41	0.193879	333.36	5.05	17.55	3.73	29.35	273.13
297	6635.75	0.209825	62.68	122.35	427.54	0.194469	337.63	5.03	17.87	3.61	29.73	255.38
296	6559.49	0.203442	61.4	123.4	427.37	0.192662	316.72	4.4	16.11	3.22	28.4	251.9
295	5950.07	0.197339	59.01	123.86	536.12	0.180406	307.91	3.7	15.18	2.88	26.96	218
294	6357.6	0.21043	62.3	119.62	346.06	0.192428	314.68	4.12	19.42	3.3	28.53	241.58
293	6618.14	0.206483	59.26	105.59	329.57	0.192903	299.25	4.24	14.6	3.2	28.18	253.59
292	7143.58	0.217488	64.27	120.78	326.01	0.220927	320.88	4.91	14.21	3.75	31.9	273.57
291	7459.69	0.217437	62.57	113.31	316.33	0.194292	309.07	4.5	14.02	3.53	30.67	285.47
290	7144.38	0.210354	61.3	99.76	293.38	0.180246	294.66	3.69	13.92	3.02	26.23	271.27
